id,review_score,review_count,company_id
1041,4.7,138,1242
1042,4.5,44,1243
1043,4.7,26,1244
1044,5.0,45,1245
1045,4.7,105,1246
1046,4.5,114,1247
1047,5.0,45,1248
1048,4.9,125,1249
1049,4.1,74,1250
1050,4.6,26,1251
1051,5.0,17,1252
1052,4.6,21,1253
1053,4.9,53,1254
1054,4.7,24,1255
1055,4.9,27,1256
1056,4.8,120,1257
1057,4.6,10,1258
1058,5.0,7,1259
1059,5.0,47,1260
1060,4.4,7,1261
1061,4.8,60,1262
1062,5.0,87,1263
1063,4.8,24,1264
1064,4.5,79,1265
1065,4.8,77,1266
1066,4.2,27,1267
1067,4.8,13,1268
1068,5.0,54,1269
1069,4.6,33,1270
1070,5.0,5,1271
1071,3.7,3,1272
1072,5.0,51,1273
1073,5.0,35,1274
1074,4.8,17,1275
1075,2.9,29,1276
1076,4.9,240,1277
1077,4.4,8,1278
1078,5.0,6,1279
1079,5.0,29,1280
1080,4.9,69,1281
1081,5.0,2,1282
1082,5.0,4,1283
1083,5.0,2,1284
1084,5.0,7,1285
1085,4.5,8,1286
1086,5.0,23,1287
1087,4.6,22,1288
1088,4.9,17,1289
1089,4.4,14,1290
1090,1.0,2,1291
1091,5.0,6,1292
1092,4.2,32,1293
1093,5.0,5,1294
1094,4.9,51,1295
1095,5.0,2,1296
1096,4.8,19,1297
1097,4.4,7,1298
1098,3.2,29,1299
1099,5.0,6,1300
1100,4.7,14,1301
1101,5.0,2,1302
1102,0.0,0,1303
1103,4.9,177,1304
1104,3.7,3,1305
1105,4.0,3,1306
1106,4.8,45,1307
1107,0.0,0,1308
1108,4.8,6,1309
1109,4.0,4,1310
1110,4.3,8,1311
1111,5.0,23,1312
1112,3.2,22,1313
1113,5.0,3,1314
1114,3.7,6,1315
1115,5.0,11,1316
1116,5.0,6,1317
1117,1.0,1,1318
1118,0.0,0,1319
1119,5.0,6,1320
1120,4.2,67,1321
1121,5.0,2,1322
1122,4.8,25,1323
1123,4.8,5,1324
1124,0.0,0,1325
1125,5.0,1,1326
1126,4.7,15,1327
1127,3.7,16,1328
1128,5.0,7,1329
1129,5.0,1,1330
