id,review_score,review_count,company_id
1130,5.0,45,1331
1131,4.7,138,1332
1132,4.1,74,1333
1133,4.6,21,1334
1134,4.7,26,1335
1135,4.5,44,1336
1136,4.8,120,1337
1137,5.0,7,1338
1138,4.8,13,1339
1139,4.4,7,1340
1140,4.9,27,1341
1141,4.6,26,1342
1142,4.9,125,1343
1143,4.7,105,1344
1144,5.0,17,1345
1145,4.5,114,1346
1146,4.9,53,1347
1147,5.0,20,1348
1148,5.0,45,1349
1149,5.0,54,1350
1150,4.8,24,1351
1151,4.6,33,1352
1152,4.5,79,1353
1153,2.9,29,1354
1154,4.8,60,1355
1155,4.7,24,1356
1156,4.4,8,1357
1157,4.8,77,1358
1158,4.6,10,1359
1159,4.8,17,1360
1160,5.0,87,1361
1161,1.0,2,1362
1162,5.0,47,1363
1163,3.2,29,1364
1164,5.0,7,1365
1165,3.7,3,1366
1166,5.0,29,1367
1167,4.2,27,1368
1168,5.0,2,1369
1169,5.0,5,1370
1170,5.0,5,1371
1171,4.9,51,1372
1172,5.0,51,1373
1173,4.7,14,1374
1174,5.0,8,1375
1175,5.0,6,1376
1176,0.0,0,1377
1177,4.8,6,1378
1178,5.0,2,1379
1179,0.0,0,1380
1180,4.8,5,1381
1181,5.0,2,1382
1182,5.0,4,1383
1183,3.2,22,1384
1184,5.0,4,1385
1185,5.0,6,1386
1186,4.5,8,1387
1187,0.0,0,1388
1188,3.7,3,1389
1189,5.0,6,1390
1190,3.7,16,1391
1191,5.0,6,1392
1192,4.4,50,1393
1193,3.8,29,1394
1194,5.0,5,1395
1195,4.2,32,1396
1196,0.0,0,1397
1197,3.0,2,1398
1198,4.5,33,1399
1199,4.3,26,1400
1200,5.0,2,1401
1201,4.9,177,1402
1202,5.0,1,1403
1203,4.2,12,1404
1204,4.9,97,1405
1205,4.7,30,1406
1206,5.0,23,1407
1207,0.0,0,1408
1208,5.0,1,1409
1209,3.1,18,1410
1210,5.0,6,1411
1211,4.8,19,1412
1212,5.0,2,1413
1213,4.4,17,1414
1214,5.0,7,1415
1215,4.7,75,1416
1216,0.0,0,1417
1217,5.0,3,1418
1218,5.0,2,1419
1219,3.0,2,1420
1220,5.0,1,1421
1221,4.0,3,1422
1222,1.0,1,1423
1223,5.0,3,1424
1224,4.0,4,1425
1225,0.0,0,1426
1226,5.0,1,1427
1227,4.2,67,1428
1228,4.8,31,1429
1229,5.0,37,1430
1230,5.0,2,1431
1231,5.0,2,1432
1232,5.0,1,1433
1233,5.0,2,1434
